,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
1607,NonResidential,Small- and Mid-Sized Office,5,NORTH,47.719,-122.29966,1931,2,0,Office,Office,Rien,28444.075817081597,152.6000061,2448649.75,0.0,1614256.0,False,Compliant,44.26,1.18
1608,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTH,47.70647,-122.30126,1990,3,0,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,Parking,11386.0,140.1000061,1256613.5,0.0,1212883.0,False,Compliant,8.46,0.3
1609,NonResidential,K-12 School,5,NORTHWEST,47.73143,-122.32784,1930,3,0,K-12 School,K-12 School,Rien,28444.075817081597,104.9000015,1270514.75,0.0,618998.0,False,Compliant,33.28,1.39
1610,NonResidential,Distribution Center,1,DELRIDGE,47.55832,-122.35239,1980,1,0,"Distribution Center, Non-Refrigerated Warehouse",Distribution Center,Non-Refrigerated Warehouse,3500.0,60.09999847,939941.6875,0.0,271509.0,False,Compliant,30.49,1.27
1611,NonResidential,Worship Facility,1,SOUTHWEST,47.51709,-122.37797,1971,1,0,Worship Facility,Worship Facility,Rien,28444.075817081597,13.30000019,100841.7031,0.0,100842.0,False,Non-Compliant,0.7,0.03
1612,Multifamily LR (1-4),Low-Rise Multifamily,1,SOUTHWEST,47.54685,-122.37676,1979,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,120.8000031,809833.125,0.0,781682.0,False,Compliant,5.45,0.22
1613,NonResidential,K-12 School,4,NORTHEAST,47.66665,-122.31818,2004,2,0,K-12 School,K-12 School,Rien,28444.075817081597,144.8999939,4277566.0,0.0,1639135.0,False,Compliant,128.66,4.1
1614,Multifamily LR (1-4),Low-Rise Multifamily,1,SOUTHWEST,47.55667,-122.3874,1980,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,70.30000305,818431.6875,0.0,764833.0,False,Compliant,5.33,0.16
1615,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62531,-122.36513,1995,5,415,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,78.59999847,1208117.875,0.0,666443.0,False,Compliant,29.66,0.9
1616,Multifamily HR (10+),High-Rise Multifamily,7,DOWNTOWN,47.61388,-122.34405,1979,27,0,"Multifamily Housing, Parking, Retail Store, Swimming Pool",Multifamily Housing,Parking,25600.0,108.5999985,6547260.0,0.0,5863982.0,False,Compliant,45.6,0.39
1617,Multifamily MR (5-9),Mid-Rise Multifamily,4,NORTHEAST,47.66206,-122.31924,1996,6,0,"Multifamily Housing, Office",Multifamily Housing,Office,4139.0,73.80000305,855469.875,0.0,509461.0,False,Compliant,18.11,0.59
1618,Multifamily MR (5-9),Mid-Rise Multifamily,6,NORTHWEST,47.67946,-122.32427,2003,6,0,"Food Sales, Food Service, Medical Office, Multifamily Housing, Other",Multifamily Housing,Other,12051.0,80.80000305,2735056.0,0.0,2495230.0,False,Compliant,30.13,0.24
1619,NonResidential,Mixed Use Property,6,NORTHWEST,47.68582,-122.33709,1996,3,22850,"Office, Parking, Retail Store",Parking,Office,23501.0,232.6999969,2450442.75,0.0,2450443.0,False,Compliant,17.08,0.31
1620,NonResidential,Other,7,MAGNOLIA / QUEEN ANNE,47.65843,-122.38435,1957,2,0,"Office, Other",Other,Office,2294.0,145.1000061,1845057.875,0.0,536408.0,False,Compliant,67.45,3.32
1621,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.65708,-122.38383,1983,4,10849,Office,Office,Rien,28444.075817081597,168.3000031,1286817.375,0.0,1286817.0,False,Compliant,8.97,0.22
1622,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.65649,-122.38383,1983,4,15659,"Office, Parking",Office,Parking,12000.0,132.1999969,1785685.5,0.0,1755788.0,False,Compliant,12.24,0.29
1623,NonResidential,Mixed Use Property,7,MAGNOLIA / QUEEN ANNE,47.65118,-122.37875,1960,2,0,"Non-Refrigerated Warehouse, Office, Other - Services",Office,Other - Services,19440.0,102.0999985,2300589.0,0.0,1591510.0,False,Compliant,42.87,0.74
1624,NonResidential,Warehouse,7,MAGNOLIA / QUEEN ANNE,47.64913,-122.37929,1955,2,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,13950.0,116.3000031,1809734.75,0.0,1344071.0,False,Compliant,28.28,0.72
1625,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.64393,-122.38313,2001,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,60.09999847,1611521.125,0.0,1232964.0,False,Compliant,25.12,0.36
1626,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.64271,-122.3755,1991,5,18278,"Multifamily Housing, Office, Parking",Multifamily Housing,Parking,18278.0,66.40000153,934980.875,0.0,934981.0,False,Compliant,6.52,0.17
1627,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.64104,-122.37539,1963,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,87.0,628589.375,0.0,584576.0,False,Compliant,4.08,0.19
1628,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.64274,-122.38516,1988,7,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,6105.0,99.69999695,761254.625,0.0,720516.0,False,Compliant,5.02,0.17
1629,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.7012,-122.35506,1992,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,6964.0,97.69999695,916478.3125,0.0,867457.0,False,Compliant,6.05,0.17
1630,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.62037,-122.32768,1961,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,106.0,859684.6875,0.0,800626.0,False,Compliant,5.58,0.24
1631,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.62037,-122.32705,1959,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,98.19999695,762182.0,0.0,719273.0,False,Compliant,5.01,0.22
1632,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.62017,-122.3272,1958,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,92.90000153,882407.3125,0.0,824320.0,False,Compliant,5.75,0.21
1633,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.61967,-122.327,1906,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,88.19999695,840253.5,0.0,468022.0,False,Compliant,19.23,0.78
1634,Nonresidential COS,Other,3,EAST,47.6303,-122.3142,1932,1,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,Rien,28444.075817081597,125.4000015,3944599.75,0.0,1443141.0,False,Compliant,121.9,3.68
1635,Multifamily LR (1-4),Low-Rise Multifamily,7,LAKE UNION,47.62463,-122.32953,1908,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,22.70000076,645334.125,0.0,26365.0,False,Compliant,30.34,1.01
1636,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.7099,-122.32705,1951,2,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,59.79999924,8710096.0,0.0,384079.0,False,Compliant,375.56,2.62
1637,NonResidential,Small- and Mid-Sized Office,5,NORTHWEST,47.70793,-122.33316,1982,2,0,Office,Office,Rien,28444.075817081597,137.8999939,1243709.625,0.0,1211349.0,False,Compliant,8.44,0.31
1638,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.70549,-122.3336,1968,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,69.0,5371872.0,0.0,5176196.0,False,Compliant,36.09,0.16
1639,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.70552,-122.33074,1986,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,98.69999695,2855580.5,0.0,2473225.0,False,Compliant,31.04,0.25
1640,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.71095,-122.3217,1977,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,77.5,636575.1875,0.0,599591.0,False,Compliant,4.18,0.17
1641,NonResidential,Retail Store,5,NORTH,47.70747,-122.32249,1965,1,0,Retail Store,Retail Store,Rien,28444.075817081597,42.09999847,335245.0,0.0,335245.0,True,Error - Correct Default Data,2.34,0.09
1642,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.7112,-122.32703,1987,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,1500.0,93.19999695,2583857.25,0.0,2455923.0,False,Compliant,17.12,0.15
1643,NonResidential,Senior Care Community,5,North,47.71069,-122.32674,1998,5,0,"Parking, Senior Care Community",Senior Care Community,Parking,0.0,225.8999939,4141925.0,0.0,2741695.0,False,Compliant,82.57,1.89
1644,Multifamily LR (1-4),Senior Care Community,5,North,47.70973,-122.32269,1992,4,0,Senior Care Community,Senior Care Community,Rien,28444.075817081597,118.0,4668274.5,0.0,3052546.0,False,Compliant,101.76,1.07
1645,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTH,47.70776,-122.32015,1986,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,10504.0,102.8000031,1446890.75,0.0,1364215.0,False,Compliant,9.51,0.17
1646,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.71894,-122.31769,1963,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,0.0,87.5,2390304.25,0.0,2278160.0,False,Compliant,15.88,0.2
1647,Multifamily MR (5-9),Senior Care Community,5,North,47.70939,-122.32178,1992,5,0,"Office, Senior Care Community",Senior Care Community,Office,2400.0,153.6999969,2080406.25,0.0,808317.0,False,Compliant,66.93,3.1
1648,NonResidential,Small- and Mid-Sized Office,5,NORTHWEST,47.70842,-122.3332,1987,3,27307,Office,Office,Rien,28444.075817081597,102.0,2596383.25,0.0,2472350.0,False,Compliant,17.24,0.23
1649,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.7166,-122.31702,1989,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,89.5,643295.0,0.0,610745.0,False,Compliant,4.26,0.2
1650,Multifamily LR (1-4),Low-Rise Multifamily,4,LAKE UNION,47.63958,-122.3275,1928,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,52.29999924,666623.125,0.0,181567.0,False,Compliant,26.31,1.29
1651,Multifamily LR (1-4),Low-Rise Multifamily,4,LAKE UNION,47.63935,-122.32497,1977,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,768.0,66.5,464698.1875,0.0,431816.0,False,Compliant,3.01,0.15
1652,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.71095,-122.321,1976,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,82.69999695,682668.0,0.0,639407.0,False,Compliant,4.46,0.18
1653,NonResidential,Mixed Use Property,5,North,47.70983,-122.31865,1952,2,0,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,Retail Store,15770.0,131.5,2177737.0,0.0,1340993.0,False,Compliant,44.28,1.38
1654,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.71054,-122.32101,1979,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,90.19999695,753369.5,0.0,705262.0,False,Compliant,4.92,0.2
1655,Multifamily MR (5-9),Mid-Rise Multifamily,5,North,47.71025,-122.3202,1970,7,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,108.3000031,3858607.0,0.0,2769785.0,False,Compliant,63.45,0.72
1656,NonResidential,Retail Store,5,NORTH,47.70708,-122.32251,1966,1,0,Retail Store,Retail Store,Rien,28444.075817081597,143.3999939,2001296.75,0.0,1900006.0,True,Error - Correct Default Data,13.25,0.32
1657,NonResidential,Medical Office,5,NORTH,47.70676,-122.32264,1988,3,0,Medical Office,Medical Office,Rien,28444.075817081597,122.4000015,1525049.625,0.0,955324.0,False,Compliant,33.42,1.16
1658,NonResidential,Self-Storage Facility,5,NORTH,47.70782,-122.31873,1977,2,0,"Office, Parking, Self-Storage Facility",Self-Storage Facility,Office,984.0,12.0,129466.8984,0.0,123767.0,False,Compliant,0.86,0.03
1659,Nonresidential COS,Other,5,NORTH,47.70541,-122.32232,2005,1,0,Other - Recreation,Other - Recreation,Rien,28444.075817081597,156.8999939,2652254.5,0.0,1066226.0,False,Compliant,80.19,2.63
1660,Multifamily MR (5-9),Senior Care Community,5,North,47.70978,-122.32156,1972,8,0,Senior Care Community,Senior Care Community,Rien,28444.075817081597,135.8999939,7157025.0,0.0,4763373.0,False,Compliant,135.11,1.08
1661,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.71625,-122.31769,1989,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,7057.0,108.5,1367471.0,0.0,1299001.0,False,Compliant,9.06,0.2
1662,Multifamily LR (1-4),Mixed Use Property,7,DOWNTOWN,47.61181,-122.34417,1901,3,0,"Multifamily Housing, Office, Retail Store",Multifamily Housing,Office,11100.0,85.0,1268988.25,0.0,1169932.0,False,Compliant,8.16,0.19
1663,Multifamily LR (1-4),Low-Rise Multifamily,1,SOUTHWEST,47.57749,-122.40901,1988,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,70.19999695,585437.625,0.0,552822.0,False,Compliant,3.85,0.16
1664,NonResidential,K-12 School,1,DELRIDGE,47.51698,-122.35946,1924,2,0,K-12 School,K-12 School,Rien,28444.075817081597,64.0,1124454.25,0.0,173165.0,False,Compliant,42.96,1.0
1665,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.71391,-122.35512,1974,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,80.40000153,577043.125,0.0,552016.0,False,Compliant,3.85,0.18
